method,window_size,step_size,status,windows,alerts,low,medium,high,average_runtime_ms,runtime_interpretation,http_codes,notes
Pearson,20,10,SUCCESS,99,19,3,13,3,30.846,Average successful processing runtime,200|200|200,
Spearman,20,10,FAILED (HTTP 500),N/A,N/A,N/A,N/A,N/A,7.188,Average time to failure; not successful processing runtime,500|500|500,'NoneType' object cannot be interpreted as an integer
Pearson,40,20,SUCCESS,49,18,2,12,4,13.302,Average successful processing runtime,200|200|200,
Spearman,40,20,FAILED (HTTP 500),N/A,N/A,N/A,N/A,N/A,6.423,Average time to failure; not successful processing runtime,500|500|500,'NoneType' object cannot be interpreted as an integer
Pearson,60,30,SUCCESS,32,20,2,15,3,10.848,Average successful processing runtime,200|200|200,
Spearman,60,30,FAILED (HTTP 500),N/A,N/A,N/A,N/A,N/A,6.601,Average time to failure; not successful processing runtime,500|500|500,'NoneType' object cannot be interpreted as an integer
